DAUID,TOPIC_THEME,TEXT_ID,TEXT_NAME_NOM,T_DATA_DONNEE,M_DATA_DONNEE,F_DATA_DONNEE
35060134,Language,7002,  French only,4.5,6.3,5.7
35060134,Language,8006,Official language minority (percentage),41.8,37.5,44.4
35060135,Language,7002,  French only,2,0,2
35060135,Language,8006,Official language minority (percentage),26.3,24,30
35060137,Language,7002,  French only,2.2,4.3,4.3
35060137,Language,8006,Official language minority (percentage),24.4,22.7,21.7
35060138,Language,7002,  French only,0,0,0
35060138,Language,8006,Official language minority (percentage),23.7,20.4,24.5
35060139,Language,7002,  French only,1.3,0,0
35060139,Language,8006,Official language minority (percentage),28.9,27.8,30
35060140,Language,7002,  French only,4.2,2.4,4.8
35060140,Language,8006,Official language minority (percentage),23.2,21.4,25.3
35060141,Language,7002,  French only,1.9,0,1.8
35060141,Language,8006,Official language minority (percentage),20.8,21.6,19.6
35060143,Language,7002,  French only,0,0,2
35060143,Language,8006,Official language minority (percentage),22.3,18.6,24
35060144,Language,7002,  French only,1.1,0,0
35060144,Language,8006,Official language minority (percentage),21.3,18.8,21.3
35060145,Language,7002,  French only,0.8,0,1.6
35060145,Language,8006,Official language minority (percentage),22.5,21.5,21.9
35060146,Language,7002,  French only,0,0,0
35060146,Language,8006,Official language minority (percentage),15,13.2,16.7
35060147,Language,7002,  French only,0,0,0
35060147,Language,8006,Official language minority (percentage),47.4,33.3,45.5
35060148,Language,7002,  French only,2.3,2.3,2.2
35060148,Language,8006,Official language minority (percentage),28.4,27.9,31.1
35060149,Language,7002,  French only,3.1,3.2,4.1
35060149,Language,8006,Official language minority (percentage),28.6,28.4,30.2
35060150,Language,7002,  French only,1.2,2.9,2
35060150,Language,8006,Official language minority (percentage),47.1,42.9,47.1
35060151,Language,7002,  French only,3.1,3.2,3.1
35060151,Language,8006,Official language minority (percentage),30.7,30.2,30.8
35060152,Language,7002,  French only,7.9,6.9,11.4
35060152,Language,8006,Official language minority (percentage),36.5,34.5,37.1
35060153,Language,7002,  French only,5.1,3.8,6.3
35060153,Language,8006,Official language minority (percentage),28.2,25.7,30.4
35060154,Language,7002,  French only,1.3,2.7,2.4
35060154,Language,8006,Official language minority (percentage),25.6,25,26.2
35060155,Language,7002,  French only,0.8,1.6,0
35060155,Language,8006,Official language minority (percentage),23.5,21.3,22.4
35060156,Language,7002,  French only,1.7,2.7,1
